galaxy,status,error,sep_masked_pixels,sep_masked_fraction,sep_truth_pixels,sep_toy_overlap_pixels,sep_toy_pixel_recall,sep_toy_associated_precision,sep_toy_f_score,sep_mean_per_toy_recall,sep_recovered_toys,sep_toy_count,sep_toy_detection_rate,sep_false_mask_fraction,sep_segments_raw,sep_segments_kept,sep_elapsed_seconds,mto_masked_pixels,mto_masked_fraction,mto_truth_pixels,mto_toy_overlap_pixels,mto_toy_pixel_recall,mto_toy_associated_precision,mto_toy_f_score,mto_mean_per_toy_recall,mto_recovered_toys,mto_toy_count,mto_toy_detection_rate,mto_false_mask_fraction,mto_segments_raw,mto_segments_kept,mto_elapsed_seconds,masked_fraction_difference_sep_minus_mto,toy_recall_difference_sep_minus_mto,f_score_difference_sep_minus_mto,comparison_elapsed_seconds
NGC3504,ok,,212401,0.11059959905230544,755,722,0.9562913907284768,0.0033992307004204313,0.006774381204376138,0.9743563890569336,6,6,1.0,0.11026699553835374,1351,1350,0.43538965999999846,148231,0.07718555546877034,755,407,0.5390728476821192,0.0027457144591886986,0.005463600606768421,0.6391324482865082,4,6,0.6666666666666666,0.07700389905688143,1790,1478,6.195227224000007,0.0334140435835351,0.41721854304635764,0.0013107805976077169,7.613465953000002
NGC3627,ok,,298774,0.09677768348222673,1499,341,0.2274849899933289,0.001141330905634359,0.0022712664808357728,0.5306347281180513,3,6,0.5,0.09671418770523972,1866,1860,0.6759630870000137,219626,0.0711403787226048,1499,644,0.4296197464976651,0.002932257565133454,0.005824759751271905,0.3262955807263392,2,6,0.3333333333333333,0.07096623447161944,2750,2265,15.58176365899999,0.025637304759621934,-0.2021347565043362,-0.003553493270436132,17.629223714000034
NGC3673,ok,,321098,0.08866742604673639,447,298,0.6666666666666666,0.0009280655749957957,0.0018535508249234167,0.5840377302241708,4,6,0.6666666666666666,0.08859607260901073,2059,2057,0.7083149820000472,447067,0.12345227986607298,447,276,0.6174496644295302,0.0006173571299156502,0.00123348096372404,0.8041431261770245,5,6,0.8333333333333334,0.12339129637485197,6660,4351,42.63998206499997,-0.03478485381933659,0.04921700223713643,0.0006200698611993768,44.771487728999944
NGC3681,ok,,59377,0.06825507398313424,752,0,0.0,0.0,0.0,0.0,0,6,0.0,0.06831412740342577,385,384,0.1410913860000278,71205,0.08185160151184925,752,152,0.20212765957446807,0.0021346815532617093,0.004224745334018928,0.25658561296859167,1,6,0.16666666666666666,0.08174754019899307,990,692,1.662172743000042,-0.013596527528715013,-0.20212765957446807,-0.004224745334018928,2.5239742869999873
NGC3684,ok,,75900,0.0479875573764273,934,218,0.2334047109207709,0.0028722002635046115,0.005674571153395633,0.13862058780091568,1,6,0.16666666666666666,0.04787800036185905,478,477,0.2969558849999885,106686,0.06745191760555366,934,383,0.4100642398286938,0.0035899743171550155,0.007117636127113919,0.4719983480337233,2,6,0.3333333333333333,0.06724947903684762,1518,1009,4.121251847000053,-0.019464360229126364,-0.17665952890792289,-0.0014430649737182865,6.533748795999998
NGC3726,ok,,126863,0.13066267045688626,727,711,0.9779917469050894,0.005604470964741493,0.011145074065365624,0.8986225895316805,5,6,0.8333333333333334,0.13002773674928597,686,685,0.1924775870000417,86855,0.08945639187574672,727,319,0.43878954607977994,0.003672787979966611,0.00728460185882944,0.5563410254134697,4,6,0.6666666666666666,0.08919462416240892,1135,910,2.068101492999972,0.04120627858113954,0.5392022008253095,0.003860472206536184,2.660013671999991
NGC3729,ok,,63658,0.06026439158127523,968,483,0.4989669421487603,0.007587420277105784,0.0149475443320026,0.3885441847972066,2,6,0.3333333333333333,0.05986199760457254,368,367,0.18747876899999483,127836,0.12102106195896667,968,510,0.5268595041322314,0.00398948652961607,0.007919008726437065,0.49150113058634287,4,6,0.6666666666666666,0.12064881214087539,3230,1463,5.142776619000017,-0.06075667037769144,-0.027892561983471065,0.007028535605565536,5.862224566999998
NGC3850,ok,,76454,0.07110835807346891,432,238,0.5509259259259259,0.0031129829701519868,0.00619098405431418,0.6666666666666666,4,6,0.6666666666666666,0.07091549243354696,467,466,0.17000407400001905,87176,0.08108067888420128,432,244,0.5648148148148148,0.002798935486831238,0.005570267555474386,0.6936936936936937,4,6,0.6666666666666666,0.0808862389555094,1238,859,2.327855037000006,-0.009972320810732377,-0.01388888888888884,0.0006207164988397936,2.9875200149999728
NGC3930,ok,,83823,0.04955325631630659,956,954,0.997907949790795,0.01138112451236534,0.02250557331414619,0.99860529986053,6,6,1.0,0.049016986687708285,551,550,0.30456542199999603,99227,0.058659567952687855,956,676,0.7071129707112971,0.006812661876303828,0.013495303594422208,0.7974213951225445,5,6,0.8333333333333334,0.05829288461379212,1478,1010,4.645033644999955,-0.009106311636381266,0.2907949790794979,0.009010269719723981,5.463506518999964
NGC3953,ok,,213236,0.08522284689774465,689,194,0.28156748911465895,0.0009097900917293515,0.001813719761598691,0.3333333333333333,2,6,0.3333333333333333,0.08516876481664341,1210,1208,0.5724885659999472,156952,0.0627281334591477,689,189,0.274310595065312,0.001204189815994699,0.002397853350333987,0.1851704996034893,1,6,0.16666666666666666,0.06266985420222994,1988,1617,9.82916426600002,0.02249471343859695,0.007256894049346929,-0.0005841335887352959,12.505262112999958
