,SOURCE_ID,random_index,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,pseudocolour,pseudocolour_error,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,phot_variable_flag,l,b,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,ag_gspphot,ebpminrp_gspphot
800,66537637648848000,492503656,57.76809276889803,24.15546247740511,1.5109615693640581,0.05577738,27.089148,5.118374194622887,0.06345201,-1.1812305288418616,0.041595344,31,,,0,0,0.9822352,2179.0928,16.627699,102.20755,17.506693,349.9532,15.72069,1.2932978,1.7860031,,,,,,,NOT_AVAILABLE,167.2855823241926,-22.863245498535235,False,False,0,True,False,False,False,False,True,True,False,4477.4062,4.5998,0.2997,672.7001,0.7242,0.3829
801,66537667710196096,1280658455,57.773325525068344,24.173906742207393,3.4557671816623716,0.2889111,11.961351,0.9215581226729337,0.30904087,-21.891054336910443,0.21288311,95,1.2402159,0.04537915,0,0,1.0015477,442.03152,19.280216,9.312564,21.005768,65.68545,17.97973,1.5424558,3.0260372,,,,,,,NOT_AVAILABLE,167.27572389817453,-22.846498655312555,False,False,0,False,False,False,False,False,False,False,False,,,,,,
802,68297887043193472,105483567,55.844685283203525,24.445810324834824,1.3847026172627424,0.024340432,56.88899,5.30377700138845,0.022962706,-7.206392787508861,0.015675465,31,,,0,0,1.0936085,5113.666,14.051829,820.2039,14.525541,913.4309,13.408943,1.229765,1.1165981,14.842598,4.2152653,15,7.427148,,,NOT_AVAILABLE,165.66012223728424,-23.827665265785612,False,False,0,True,True,False,False,False,True,True,False,5394.3228,4.2574,-0.5674,677.8723,0.4327,0.234
803,66537912526752512,1158412033,57.741750196309354,24.1825679705886,0.43774328550088815,0.042150866,10.385156,10.917785092230744,0.049194485,-7.274688987878949,0.031377662,31,,,1,0,1.0359874,2820.7383,16.043358,317.316,16.444132,415.7621,15.463566,1.219378,0.980566,,,,,,,NOT_AVAILABLE,167.2464465519697,-22.859798756105537,False,False,0,True,False,False,False,False,True,True,False,5194.1064,4.3471,-1.5386,1384.3848,0.0823,0.0449
804,66537912526753024,743018641,57.743681281737615,24.177215890897372,1.4578359673590129,0.10623629,13.72258,-4.3435837354958196,0.12761942,-7.832299860970148,0.08070521,31,,,0,0,1.039254,1208.4839,17.728558,34.93189,18.848732,156.56946,16.690592,1.353423,2.1581402,,,,,,,NOT_AVAILABLE,167.25180433061848,-22.86251445576604,False,False,0,False,False,False,False,False,True,True,False,3840.8416,4.7134,-0.0381,573.0959,0.6309,0.3591
805,66537946886489600,1003977672,57.755493904555486,24.184660529218238,0.5504688735350627,0.027077308,20.329527,3.2394473991129304,0.03289123,-3.031365856119105,0.019248288,31,,,0,0,1.0850959,4934.9595,14.93008,620.47125,15.359316,774.47107,14.326697,1.2221776,1.0326185,,,,,,,NOT_AVAILABLE,167.25485422051287,-22.849721903732828,False,False,0,True,True,False,False,False,True,True,False,5300.4795,4.1653,-0.5838,1249.9403,0.2146,0.1157
806,66537981246228096,775709932,57.72961087519808,24.19724656530266,7.156892922325294,0.020666307,346.3073,18.856737930398275,0.023888523,-43.38606614358302,0.016301924,31,,,0,0,1.0684023,1603.6152,11.425587,532.92053,11.855159,777.5768,10.82816,1.2180128,1.0269985,5.490877,0.50997764,31,59.665318,1.3832834,0.03893849,NOT_AVAILABLE,167.2267963514309,-22.856602521508,False,False,0,True,True,True,False,False,True,True,False,5243.9507,4.5289,-0.2171,138.6663,0.0826,0.0438
807,66538011307612544,713423138,57.74377117271092,24.21308167713049,2.540189106286629,0.21264844,11.945487,36.299551754583085,0.23287979,-29.12291759189066,0.17700961,31,,,0,0,1.0086367,634.6391,18.759914,9.815224,20.39524,78.89416,17.50205,1.5015967,2.8931904,,,,,,,NOT_AVAILABLE,167.22534462420649,-22.836212138702923,False,False,0,False,False,False,False,False,False,False,False,3208.763,4.8272,0.4111,430.564,0.2284,0.1693
808,66538153044952448,278168367,57.569362383263666,24.088933549763023,0.7553918119813972,0.054696415,13.810628,4.599929256126192,0.06599125,-4.833926622785873,0.04187385,31,,,0,0,1.1754364,2220.569,16.11909,307.65427,16.63373,404.37906,15.417123,1.2549775,1.2166071,,,,,,,NOT_AVAILABLE,167.19058052227354,-23.035496302051968,False,False,0,True,False,False,False,False,True,True,False,5280.39,3.898,-0.1276,2250.459,0.5142,0.2751
809,66538153044954112,217538228,57.559251740803724,24.081159397111776,0.579244954905431,0.021921694,26.423367,-1.2519634902371268,0.025821585,-5.897548602848731,0.014601819,31,,,0,0,1.1150609,7184.957,13.832644,1152.9259,14.377951,1826.9569,13.132574,1.241002,1.2453766,-55.49598,2.9798658,14,6.5038724,,,NOT_AVAILABLE,167.18897674664257,-23.0474737800231,False,False,0,True,True,False,False,False,False,True,False,5765.495,3.4048,-0.049,1886.4808,0.7795,0.4169
