GaiaDR3 RA_ICRS DE_ICRS dpgeo b_dpgeo B_dpgeo Gmag e_Gmag BPmag e_BPmag RPmag e_RPmag Mass e_Mass logT e_logT logL e_logL logg e_logg Simbad x y z vx vy vz
68449757086421760 54.725761 24.704218 125.408 124.071 126.930 17.4073 0.0012 19.5042 0.0757 16.0494 0.0048 0.1794 0.0240 3.4637 0.0097 -2.2857 0.0820 4.8116 0.0334 Simbad 65.793698 93.012418 52.412260 0.0 0.0 0.0
68444878003882240 54.737035 24.569616 139.124 138.673 139.464 10.3789 0.0005 10.7061 0.0032 9.8861 0.0024 1.0863 0.0122 3.7713 0.0027 0.0285 0.0222 4.4819 0.0072 Simbad 73.047974 103.310885 57.847557 0.0 0.0 0.0
64259518272776576 54.764639 21.422084 132.245 131.018 133.478 16.8002 0.0011 18.6587 0.0176 15.5177 0.0030 0.2605 0.0232 3.4863 0.0054 -2.0745 0.0546 4.8262 0.0246 Simbad 71.026000 100.553965 48.300583 0.0 0.0 0.0
71059138697443200 54.767000 27.001233 137.565 136.675 138.504 16.0111 0.0012 17.5947 0.0115 14.7913 0.0030 0.3743 0.0162 3.5107 0.0037 -1.7963 0.0410 4.7939 0.0182 Simbad 70.710967 100.116716 62.455842 0.0 0.0 0.0
68540535515653504 54.778121 24.702659 129.217 128.676 129.879 7.1034 0.0004 7.1052 0.0010 7.0665 0.0006 2.2040 0.0639 3.9905 0.0097 1.4062 0.0520 4.2877 0.0091 Simbad 67.705278 95.900583 54.000976 0.0 0.0 0.0
68250264445159936 54.788131 24.367623 142.099 141.751 142.402 9.7084 0.0005 9.9974 0.0006 9.2492 0.0005 1.2298 0.0128 3.8053 0.0026 0.3014 0.0191 4.4011 0.0057 Simbad 74.635532 105.756094 58.628590 0.0 0.0 0.0
68254245878512384 54.806233 24.466325 139.853 139.465 140.207 10.2262 0.0007 10.5407 0.0024 9.7399 0.0016 1.1167 0.0121 3.7786 0.0026 0.0897 0.0211 4.4627 0.0067 Simbad 73.365564 104.026340 57.921287 0.0 0.0 0.0
71042641727187968 54.814894 26.800907 128.322 126.200 130.985 17.5429 0.0012 19.4913 0.0312 16.1981 0.0058 0.1791 0.0248 3.4636 0.0100 -2.2866 0.0848 4.8115 0.0335 Simbad 65.998777 93.610883 57.859324 0.0 0.0 0.0
68559738312482048 54.819827 24.960550 134.027 131.403 137.623 17.4644 0.0010 19.5367 0.0370 16.0903 0.0029 0.1855 0.0364 3.4661 0.0131 -2.2658 0.1121 4.8143 0.0345 Simbad 70.007166 99.314428 56.558605 0.0 0.0 0.0
71042439864623104 54.826331 26.793219 135.041 134.795 135.360 13.4790 0.0010 14.3117 0.0055 12.5826 0.0036 0.6285 0.0054 3.6120 0.0024 -1.0452 0.0126 4.6845 0.0058 Simbad 69.439541 98.532927 60.872688 0.0 0.0 0.0
