[I 2026-07-27 19:49:13,780] A new study created in RDB with name: sep-spike-gate-optimisation
[I 2026-07-27 20:00:31,351] Trial 27 finished with value: 29.372510204441493 and parameters: {'detect_thresh': 2.3786884251538183, 'minarea': 38, 'deblend_nthresh': 52, 'deblend_cont': 7.908758440794529e-05, 'back_size': 96, 'filter_size': 5, 'dilation_radius': 4, 'max_area': 6359, 'max_elongation': 23.16261814140194}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 20:00:53,015] Trial 28 finished with value: 28.699506488900816 and parameters: {'detect_thresh': 1.551119785925428, 'minarea': 46, 'deblend_nthresh': 42, 'deblend_cont': 2.064406904131238e-05, 'back_size': 64, 'filter_size': 9, 'dilation_radius': 3, 'max_area': 7407, 'max_elongation': 19.910611421487175}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 20:01:07,189] Trial 29 finished with value: 1000000.0 and parameters: {'detect_thresh': 0.9574727983427587, 'minarea': 33, 'deblend_nthresh': 30, 'deblend_cont': 5.204406476237288e-05, 'back_size': 256, 'filter_size': 9, 'dilation_radius': 4, 'max_area': 7924, 'max_elongation': 14.914838050122174}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 20:01:19,799] Trial 30 finished with value: 23.916219110135643 and parameters: {'detect_thresh': 2.5528537403757774, 'minarea': 42, 'deblend_nthresh': 25, 'deblend_cont': 0.00025624864120842744, 'back_size': 24, 'filter_size': 1, 'dilation_radius': 2, 'max_area': 4456, 'max_elongation': 10.10279423985014}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 20:01:34,740] Trial 31 finished with value: 20.66930598681861 and parameters: {'detect_thresh': 1.8983416370536763, 'minarea': 43, 'deblend_nthresh': 44, 'deblend_cont': 1.8303622111750282e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 3, 'max_area': 7037, 'max_elongation': 19.456718794679876}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 20:01:49,378] Trial 32 finished with value: 21.010121265407196 and parameters: {'detect_thresh': 2.1350134609358165, 'minarea': 46, 'deblend_nthresh': 53, 'deblend_cont': 2.3434095272405785e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 3, 'max_area': 5772, 'max_elongation': 22.201472721750154}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 20:02:07,478] Trial 33 finished with value: 20.010608411331386 and parameters: {'detect_thresh': 1.556863292095172, 'minarea': 36, 'deblend_nthresh': 41, 'deblend_cont': 1.5243940224111085e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 3, 'max_area': 6486, 'max_elongation': 26.669722594072486}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 20:02:29,160] Trial 34 finished with value: 20.325023916617454 and parameters: {'detect_thresh': 1.199468728572793, 'minarea': 36, 'deblend_nthresh': 33, 'deblend_cont': 1.0068071051257826e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 4, 'max_area': 6163, 'max_elongation': 26.541931762785854}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 20:02:53,592] Trial 35 finished with value: 32.073154365261274 and parameters: {'detect_thresh': 1.1616849229317083, 'minarea': 30, 'deblend_nthresh': 33, 'deblend_cont': 3.0167427408436237e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 4, 'max_area': 5288, 'max_elongation': 27.58280830238953}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 20:03:10,846] Trial 36 finished with value: 22.199864912706396 and parameters: {'detect_thresh': 1.5599688155082228, 'minarea': 36, 'deblend_nthresh': 25, 'deblend_cont': 8.695467885320013e-05, 'back_size': 16, 'filter_size': 5, 'dilation_radius': 4, 'max_area': 4635, 'max_elongation': 26.416490462132618}. Best is trial 18 with value: 19.45902473717852.
