[I 2026-07-27 19:50:36,961] A new study created in RDB with name: sep-toy-object-optimisation
[I 2026-07-27 19:59:18,765] Trial 26 finished with value: -0.5932511139351795 and parameters: {'detect_thresh': 2.5115213115930892, 'minarea': 15, 'deblend_nthresh': 14, 'deblend_cont': 2.6364671449651722e-05, 'back_size': 24, 'filter_size': 3, 'dilation_radius': 3, 'max_area': 6750, 'max_elongation': 15.180972240506149}. Best is trial 25 with value: -0.648373749863752.
[I 2026-07-27 19:59:31,337] Trial 27 finished with value: -0.5761694578973328 and parameters: {'detect_thresh': 2.279059127703956, 'minarea': 16, 'deblend_nthresh': 13, 'deblend_cont': 2.851415915840168e-05, 'back_size': 24, 'filter_size': 5, 'dilation_radius': 3, 'max_area': 7377, 'max_elongation': 15.377160483411421}. Best is trial 25 with value: -0.648373749863752.
[I 2026-07-27 19:59:43,272] Trial 28 finished with value: -0.3824131456607218 and parameters: {'detect_thresh': 3.2602373779651863, 'minarea': 24, 'deblend_nthresh': 8, 'deblend_cont': 2.514375249321005e-05, 'back_size': 24, 'filter_size': 9, 'dilation_radius': 3, 'max_area': 6279, 'max_elongation': 20.184718227091988}. Best is trial 25 with value: -0.648373749863752.
[I 2026-07-27 19:59:55,913] Trial 29 finished with value: -0.4869387105671925 and parameters: {'detect_thresh': 2.556161711417698, 'minarea': 15, 'deblend_nthresh': 16, 'deblend_cont': 0.0003149759846384475, 'back_size': 24, 'filter_size': 9, 'dilation_radius': 3, 'max_area': 7446, 'max_elongation': 12.938177529603223}. Best is trial 25 with value: -0.648373749863752.
[I 2026-07-27 20:00:08,704] Trial 30 finished with value: -0.5824451554963233 and parameters: {'detect_thresh': 3.496301178579709, 'minarea': 3, 'deblend_nthresh': 28, 'deblend_cont': 1.922808897748278e-05, 'back_size': 24, 'filter_size': 3, 'dilation_radius': 3, 'max_area': 6259, 'max_elongation': 11.853866075550748}. Best is trial 25 with value: -0.648373749863752.
[I 2026-07-27 20:00:23,016] Trial 31 finished with value: -0.6182309069317634 and parameters: {'detect_thresh': 1.586385154942373, 'minarea': 9, 'deblend_nthresh': 14, 'deblend_cont': 1.0639918712445748e-05, 'back_size': 24, 'filter_size': 3, 'dilation_radius': 2, 'max_area': 6916, 'max_elongation': 15.08504085195138}. Best is trial 25 with value: -0.648373749863752.
[I 2026-07-27 20:00:36,447] Trial 32 finished with value: -0.5458787200928457 and parameters: {'detect_thresh': 1.7245126052309885, 'minarea': 9, 'deblend_nthresh': 14, 'deblend_cont': 3.509957163079767e-05, 'back_size': 24, 'filter_size': 3, 'dilation_radius': 1, 'max_area': 7353, 'max_elongation': 15.693136603668613}. Best is trial 25 with value: -0.648373749863752.
[I 2026-07-27 20:00:47,926] Trial 33 finished with value: -0.5213656331642428 and parameters: {'detect_thresh': 2.328731203052036, 'minarea': 20, 'deblend_nthresh': 8, 'deblend_cont': 1.8135607067031997e-05, 'back_size': 24, 'filter_size': 3, 'dilation_radius': 2, 'max_area': 6680, 'max_elongation': 19.20353930207573}. Best is trial 25 with value: -0.648373749863752.
[I 2026-07-27 20:01:02,932] Trial 34 finished with value: -0.5588923592726921 and parameters: {'detect_thresh': 1.5985737359063419, 'minarea': 4, 'deblend_nthresh': 16, 'deblend_cont': 3.973659880950254e-05, 'back_size': 24, 'filter_size': 3, 'dilation_radius': 1, 'max_area': 5985, 'max_elongation': 15.72350215194596}. Best is trial 25 with value: -0.648373749863752.
[I 2026-07-27 20:01:16,371] Trial 35 finished with value: -0.6374588081326577 and parameters: {'detect_thresh': 2.1098815238958903, 'minarea': 1, 'deblend_nthresh': 24, 'deblend_cont': 1.067535299444553e-05, 'back_size': 24, 'filter_size': 5, 'dilation_radius': 3, 'max_area': 5352, 'max_elongation': 12.245267621650733}. Best is trial 25 with value: -0.648373749863752.
[I 2026-07-27 20:01:38,842] Trial 36 finished with value: -0.6347864862512659 and parameters: {'detect_thresh': 0.966838070524225, 'minarea': 1, 'deblend_nthresh': 23, 'deblend_cont': 1.7078389507091963e-05, 'back_size': 24, 'filter_size': 5, 'dilation_radius': 2, 'max_area': 5250, 'max_elongation': 6.982998175069154}. Best is trial 25 with value: -0.648373749863752.
[I 2026-07-27 20:02:03,288] Trial 37 finished with value: -0.5885637951386968 and parameters: {'detect_thresh': 0.9399204629758039, 'minarea': 1, 'deblend_nthresh': 24, 'deblend_cont': 1.8556844750353296e-05, 'back_size': 32, 'filter_size': 5, 'dilation_radius': 1, 'max_area': 3804, 'max_elongation': 5.640207895649677}. Best is trial 25 with value: -0.648373749863752.
[I 2026-07-27 20:02:17,873] Trial 38 finished with value: -0.6235676623751027 and parameters: {'detect_thresh': 2.1406022027572664, 'minarea': 4, 'deblend_nthresh': 31, 'deblend_cont': 0.00011467439673636747, 'back_size': 48, 'filter_size': 5, 'dilation_radius': 5, 'max_area': 5473, 'max_elongation': 4.739967953686543}. Best is trial 25 with value: -0.648373749863752.
[I 2026-07-27 20:02:57,590] Trial 39 finished with value: 14.891541882879283 and parameters: {'detect_thresh': 0.6763174349827807, 'minarea': 1, 'deblend_nthresh': 63, 'deblend_cont': 5.02552725801515e-05, 'back_size': 128, 'filter_size': 5, 'dilation_radius': 3, 'max_area': 3905, 'max_elongation': 7.615881843830514}. Best is trial 25 with value: -0.648373749863752.
