name,status,png,raw_segments,kept_segments,masked_fraction,background_level,background_rms,error
NGC1559,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1559_sep_thr2.5_area15_deb0.0001_dil2.png,1613,1612,0.06471659960299293,0.014520824886858463,0.011071547865867615,
NGC1640,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1640_sep_thr2.5_area15_deb0.0001_dil2.png,344,343,0.057141360782248796,0.03746190667152405,0.016943324357271194,
NGC1672,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1672_sep_thr2.5_area15_deb0.0001_dil2.png,754,750,0.09316381589749687,0.02465781942009926,0.013662472367286682,
NGC1800,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1800_sep_thr2.5_area15_deb0.0001_dil2.png,497,496,0.09006186964997033,0.022063273936510086,0.008979348465800285,
NGC1808,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1808_sep_thr2.5_area15_deb0.0001_dil2.png,707,704,0.0822062298603652,0.011828718706965446,0.011836929246783257,
NGC1879,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1879_sep_thr2.5_area15_deb0.0001_dil2.png,421,420,0.05499153102536561,0.0360950231552124,0.016160044819116592,
NGC2500,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC2500_sep_thr2.5_area15_deb0.0001_dil2.png,465,462,0.07503816719663156,0.03308519721031189,0.01624405011534691,
NGC2681,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC2681_sep_thr2.5_area15_deb0.0001_dil2.png,660,659,0.04487675007048461,0.010958036407828331,0.016051430255174637,
NGC2903,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC2903_sep_thr2.5_area15_deb0.0001_dil2.png,2777,2768,0.06667092698829433,0.07561653107404709,0.010703127831220627,
NGC2968,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC2968_sep_thr2.5_area15_deb0.0001_dil2.png,970,967,0.04256179467821813,0.06970782577991486,0.013902338221669197,
NGC3185,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3185_sep_thr2.5_area15_deb0.0001_dil2.png,597,593,0.04371662189496666,0.07340292632579803,0.016983166337013245,
NGC3227,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3227_sep_thr2.5_area15_deb0.0001_dil2.png,224,222,0.017201672486706596,0.09947337955236435,0.02975122071802616,
NGC3264,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3264_sep_thr2.5_area15_deb0.0001_dil2.png,398,397,0.02156625553215607,0.032617826014757156,0.0170725230127573,
NGC3287,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3287_sep_thr2.5_area15_deb0.0001_dil2.png,453,452,0.03175085913939417,0.09603159129619598,0.01770670898258686,
NGC3319,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3319_sep_thr2.5_area15_deb0.0001_dil2.png,875,874,0.14006694770995418,0.017696481198072433,0.0068566151894629,
NGC3344,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3344_sep_thr2.5_area15_deb0.0001_dil2.png,389,386,0.08190488877509004,0.02497868984937668,0.017106901854276657,
NGC3359,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3359_sep_thr2.5_area15_deb0.0001_dil2.png,923,922,0.03441032210435026,0.04008994624018669,0.01721276342868805,
NGC3380,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3380_sep_thr2.5_area15_deb0.0001_dil2.png,363,362,0.035893685077417976,0.0864327922463417,0.01486949808895588,
NGC3447,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3447_sep_thr2.5_area15_deb0.0001_dil2.png,391,390,0.05055124133229127,0.07127898186445236,0.015199117362499237,
NGC3485,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3485_sep_thr2.5_area15_deb0.0001_dil2.png,388,387,0.05523599997634382,0.10370410233736038,0.015298829413950443,
NGC3486,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3486_sep_thr2.5_area15_deb0.0001_dil2.png,765,764,0.09934357581416405,0.06803250312805176,0.008341933600604534,
