name,status,segments_kept,segments_raw,masked_pixels,masked_fraction,report_png,cleaned_fits,elapsed_seconds,error
NGC1255,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1255_mtobjects_optimised_report.png,,1.415764000004856,
NGC1291,ok,0,1,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1291_mtobjects_optimised_report.png,,2.76787609999883,
NGC1302,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1302_mtobjects_optimised_report.png,,1.811179299998912,
NGC1313,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1313_mtobjects_optimised_report.png,,5.983907200003159,
NGC1326A,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1326A_mtobjects_optimised_report.png,,1.165891600001487,
NGC1341,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1341_mtobjects_optimised_report.png,,1.2691568000009283,
NGC1347,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1347_mtobjects_optimised_report.png,,0.8983616000041366,
NGC1350,ok,1,1,359,0.00018027626961697067,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1350_mtobjects_optimised_report.png,,1.7888014999916777,
NGC1367,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1367_mtobjects_optimised_report.png,,1.682566899995436,
NGC1436,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1436_mtobjects_optimised_report.png,,0.8827119000052335,
NGC1493,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1493_mtobjects_optimised_report.png,,2.0488238999969326,
NGC1512,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1512_mtobjects_optimised_report.png,,2.2784345999971265,
NGC1559,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1559_mtobjects_optimised_report.png,,1.621329000001424,
NGC1640,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1640_mtobjects_optimised_report.png,,0.9588905000127852,
NGC1672,ok,0,1,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1672_mtobjects_optimised_report.png,,1.3839290999894729,
NGC1800,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1800_mtobjects_optimised_report.png,,0.7786689999920782,
NGC1808,ok,0,1,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1808_mtobjects_optimised_report.png,,1.5287177999998676,
NGC1879,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1879_mtobjects_optimised_report.png,,1.278807599999709,
NGC2500,ok,0,1,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC2500_mtobjects_optimised_report.png,,0.9535399000014877,
NGC2681,ok,0,1,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC2681_mtobjects_optimised_report.png,,1.0754824000032386,
NGC2903,ok,0,2,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC2903_mtobjects_optimised_report.png,,2.9547649000014644,
NGC2968,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC2968_mtobjects_optimised_report.png,,1.7294306999974651,
NGC3185,ok,1,1,278,0.00018595417233001915,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC3185_mtobjects_optimised_report.png,,1.0591941000020597,
NGC3227,ok,0,1,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC3227_mtobjects_optimised_report.png,,1.3522576999966986,
NGC3264,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC3264_mtobjects_optimised_report.png,,1.1839993000030518,
NGC3287,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC3287_mtobjects_optimised_report.png,,1.3012682999979006,
NGC3319,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC3319_mtobjects_optimised_report.png,,1.1188043000001926,
NGC3344,ok,0,2,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC3344_mtobjects_optimised_report.png,,0.9730713000026299,
NGC3359,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC3359_mtobjects_optimised_report.png,,1.9986743000044953,
NGC3380,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC3380_mtobjects_optimised_report.png,,0.8824144000100205,
