rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
55,IC4901,ok,44.294762800567,43.72769880334445,7,196,0.02268255988890175,0.03133154018405265,52.79999923706055,6.159999910990396,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC4901.phot.1.fits,
56,NGC4102,ok,45.05220392475936,44.443410980175976,8,185,0.024351717783335527,0.06599819792454992,49.599998474121094,5.786666488647461,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4102.phot.1.fits,
57,ESO085-047,ok,45.16955631890988,44.81731393931692,13,153,0.014089695183718574,0.013460723089054051,59.20000076293945,6.9066667556762695,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO085-047.phot.1.fits,
58,NGC0991,ok,45.25724719688018,44.98668442631741,11,155,0.010822510822510822,0.018440167918490943,68.0,7.933333333333334,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0991.phot.1.fits,
59,ESO358-020,ok,45.58312235036077,45.30524165380649,8,150,0.011115227862171175,0.012108813708621118,66.0,7.699999999999999,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO358-020.phot.1.fits,
60,NGC1051,ok,48.32419339860853,48.050689728365725,8,155,0.010940146809712028,0.014572685906053217,67.5999984741211,7.88666648864746,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1051.phot.1.fits,
61,NGC3264,ok,48.819086361468074,48.529311282124894,9,168,0.01159100317372706,0.013451448652489631,68.4000015258789,7.980000178019205,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3264.phot.1.fits,
62,ESO079-005,ok,48.89815400860792,48.55231239164304,10,167,0.013833664678595096,0.013110740126863881,62.400001525878906,7.280000178019205,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO079-005.phot.1.fits,
63,NGC4900,ok,49.93393913872368,49.34924537931648,12,202,0.023387750376288062,0.06427971035068215,52.79999923706055,6.159999910990396,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4900.phot.1.fits,
64,UGC07129,ok,49.970672501128206,49.47530749533446,5,171,0.01981460023174971,0.012935588305795774,52.79999923706055,6.159999910990396,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC07129.phot.1.fits,
65,NGC4525,ok,51.03690566813435,50.64848470157944,12,190,0.015536838662196418,0.01503587548453025,62.79999923706055,7.326666577657064,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4525.phot.1.fits,
66,UGC05633,ok,54.64205726646224,54.44400142542079,15,185,0.007922233641658102,0.012218795984119362,86.80000305175781,10.126667022705078,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC05633.phot.1.fits,
