name,status,segments_kept,segments_raw,masked_pixels,masked_fraction,report_png,cleaned_fits,elapsed_seconds,error
NGC1302,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1302_mtobjects_optimised_report.png,,1.8038725000005797,
NGC1313,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1313_mtobjects_optimised_report.png,,5.834702400003152,
NGC1326A,ok,0,1,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1326A_mtobjects_optimised_report.png,,1.1649064999946859,
NGC1341,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1341_mtobjects_optimised_report.png,,1.26862959999562,
NGC1347,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1347_mtobjects_optimised_report.png,,0.8642812999969465,
NGC1350,ok,1,1,290,0.00014562707016412674,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1350_mtobjects_optimised_report.png,,1.7349933000004967,
NGC1367,ok,1,1,161,6.273794632593338e-05,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1367_mtobjects_optimised_report.png,,1.7326151999950525,
NGC1436,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1436_mtobjects_optimised_report.png,,0.8726170000009006,
NGC1493,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1493_mtobjects_optimised_report.png,,1.9684648999973433,
NGC1512,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1512_mtobjects_optimised_report.png,,2.2398377999998047,
NGC1559,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1559_mtobjects_optimised_report.png,,1.5762293000007048,
NGC1640,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1640_mtobjects_optimised_report.png,,0.9370557000002009,
NGC1672,ok,1,1,153,0.00010828393321216857,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1672_mtobjects_optimised_report.png,,1.3834411999996519,
NGC1800,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1800_mtobjects_optimised_report.png,,0.7822707000013907,
NGC1808,ok,0,1,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1808_mtobjects_optimised_report.png,,1.4909503999951994,
NGC1879,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1879_mtobjects_optimised_report.png,,1.2241931999960798,
NGC2500,ok,0,1,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC2500_mtobjects_optimised_report.png,,0.9423612000027788,
NGC2681,ok,0,1,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC2681_mtobjects_optimised_report.png,,1.0839013000004343,
NGC2903,ok,0,2,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC2903_mtobjects_optimised_report.png,,2.8951848999931826,
NGC2968,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC2968_mtobjects_optimised_report.png,,1.7357004000004963,
NGC3185,ok,1,1,216,0.00014448237850102209,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC3185_mtobjects_optimised_report.png,,1.027597300002526,
NGC3227,ok,0,1,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC3227_mtobjects_optimised_report.png,,1.3313583999988623,
NGC3264,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC3264_mtobjects_optimised_report.png,,1.1432707999993,
NGC3287,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC3287_mtobjects_optimised_report.png,,1.2508949000039138,
NGC3319,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC3319_mtobjects_optimised_report.png,,1.0693405000056373,
NGC3344,ok,0,2,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC3344_mtobjects_optimised_report.png,,0.9642597999991267,
NGC3359,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC3359_mtobjects_optimised_report.png,,1.9052347000033478,
NGC3380,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC3380_mtobjects_optimised_report.png,,0.8575210999988485,
NGC3447,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC3447_mtobjects_optimised_report.png,,0.9651624999969499,
NGC3485,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC3485_mtobjects_optimised_report.png,,0.8609594000008656,
NGC3486,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC3486_mtobjects_optimised_report.png,,0.8542742999998154,
NGC3504,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC3504_mtobjects_optimised_report.png,,1.3323100000052364,
NGC3627,ok,0,2,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC3627_mtobjects_optimised_report.png,,2.074287600000389,
NGC3673,ok,1,1,328,9.05733319526423e-05,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC3673_mtobjects_optimised_report.png,,2.4583178000029875,
NGC3681,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC3681_mtobjects_optimised_report.png,,0.8036945999992895,
NGC3684,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC3684_mtobjects_optimised_report.png,,1.2674243000001297,
