designation,parallax,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 63953819680971008,7.598022917417946,0.6297,0.6194,0.6402,Gaia DR3 63953819680971008,57.07348073664716,22.066808749749143,7.598,20.284,-45.302,0.0,2016.0,7.482183459362542E-15
Gaia DR3 63959351598814336,6.972454206976809,0.6424,0.6345,0.6528,Gaia DR3 63959351598814336,57.451898858678085,22.17997112385835,6.9725,18.3935,-42.2956,0.0,2016.0,3.552713678800501E-15
Gaia DR3 63989691247627776,7.595165178454831,0.72,0.6981,0.7441,Gaia DR3 63989691247627776,56.413086086113154,22.072941790439312,7.5952,20.3007,-45.655,0.0,2016.0,3.552713678800501E-15
Gaia DR3 63995562466405760,7.066697909247392,0.7166,0.6996,0.7369,Gaia DR3 63995562466405760,56.70921754523774,22.211633483804448,7.0667,20.7403,-44.1409,0.0,2016.0,0.0
Gaia DR3 63999999169130112,7.432473633593599,0.8291,0.8128,0.8695,Gaia DR3 63999999169130112,56.630577272862354,22.305310419986274,7.4325,19.5437,-46.4129,0.0,2016.0,6.5737605210234986E-15
Gaia DR3 64001339197473408,7.598836153417365,,,,Gaia DR3 64001339197473408,56.99190698106537,22.113993975562888,7.5988,19.9835,-46.4998,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64006905476619776,7.121282586312011,0.087,0.0662,0.1027,Gaia DR3 64006905476619776,56.84689444035548,22.244354276021415,7.1213,19.5652,-44.0755,1.1517,2016.0,0.0
Gaia DR3 64007244778181248,7.267899589037527,0.8483,0.7817,0.9691,Gaia DR3 64007244778181248,56.93617517454737,22.212093026243476,7.2679,19.7448,-44.9063,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64021714523841280,7.3267714619524815,0.7913,0.7792,0.808,Gaia DR3 64021714523841280,56.83519780827224,22.365563362379287,7.3268,19.4719,-46.2543,0.0,2016.0,7.469857819135086E-15
Gaia DR3 64024081049308800,7.389174547498765,0.792,0.76,0.8521,Gaia DR3 64024081049308800,56.66922521710204,22.367526920156397,7.3892,19.2357,-44.282,0.0,2016.0,6.570828229114868E-15
Gaia DR3 64027143362491008,7.551832932850046,0.7005,0.6887,0.7211,Gaia DR3 64027143362491008,56.93624264298835,22.397962763767943,7.5518,21.0571,-46.6731,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64032503481665280,7.412149673861739,0.6831,0.6687,0.6973,Gaia DR3 64032503481665280,56.843674396417384,22.519560464164275,7.4121,20.5745,-45.5204,0.0,2016.0,0.0
Gaia DR3 64037588724758400,6.946839356563111,0.6508,0.64,0.6652,Gaia DR3 64037588724758400,57.633191798463365,22.146378224514084,6.9468,18.114,-41.3626,0.0,2016.0,0.0
Gaia DR3 64040818540162304,7.282447165460064,0.1168,0.1126,0.1217,Gaia DR3 64040818540162304,57.595542606765434,22.188131148359005,7.2824,17.1543,-46.2665,2.4559,2016.0,0.0
Gaia DR3 64050645425295872,7.434510624162738,0.5575,0.5526,0.5624,Gaia DR3 64050645425295872,57.76638978663602,22.404544971048768,7.4345,19.3421,-45.9964,9.1435,2016.0,7.105427357601002E-15
Gaia DR3 64057895330132224,7.124079011263999,0.8902,0.8698,0.9144,Gaia DR3 64057895330132224,57.356540141478256,22.312209187153343,7.1241,19.5567,-44.4279,0.0,2016.0,9.679729109769206E-15
Gaia DR3 64059407158605568,7.399756837891425,0.7319,0.7126,0.7538,Gaia DR3 64059407158605568,57.39781407380614,22.39046720119339,7.3998,19.4713,-45.0015,0.0,2016.0,6.5697450879952725E-15
Gaia DR3 64064011363520512,7.127754129770755,0.6775,0.6683,0.6869,Gaia DR3 64064011363520512,57.65595238915255,22.468747646826063,7.1278,19.8999,-44.3445,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64066107307543296,7.265606256190289,0.2194,0.2046,0.2363,Gaia DR3 64066107307543296,57.7244693872803,22.547865345919984,7.2656,17.8734,-45.1225,4.6151,2016.0,0.0
Gaia DR3 64073597730589952,6.975558093691786,0.5302,0.5202,0.5407,Gaia DR3 64073597730589952,58.14369484776731,22.50195524647832,6.9756,19.2108,-42.477,-22.3794,2016.0,0.0
Gaia DR3 64078167575681152,7.516364021774598,0.509,0.5049,0.5132,Gaia DR3 64078167575681152,58.02330445629013,22.5818520695269,7.5164,18.648,-45.6305,25.0137,2016.0,7.460840103596687E-15
Gaia DR3 64092907903452800,7.500111920385244,0.6984,0.6843,0.712,Gaia DR3 64092907903452800,57.77559689630136,22.633376347393465,7.5001,20.8825,-45.9054,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64094041774819328,7.3085612644205,0.7106,0.6621,0.7509,Gaia DR3 64094041774819328,57.71451144364131,22.665930023557202,7.3086,18.1731,-45.3361,0.0,2016.0,7.457313312432263E-15
Gaia DR3 64095656682494720,7.284987335263736,0.1633,0.1095,0.1819,Gaia DR3 64095656682494720,57.91274273726911,22.750074669732147,7.285,19.6045,-45.5967,6.2061,2016.0,3.552713678800501E-15
