rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,weighted_coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
91,UGC08489,ok,4.159182506296352,4.156148517901162,17,17,0.0006102595397925117,0.00012135953580761566,0.011790623561883403,94.80000305175781,11.060000356038412,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC08489.phot.1.fits,
92,NGC0578,ok,4.16972158599707,4.1676450374718,117,117,0.0006420633831801344,8.306194101082144e-05,0.013099538944138808,240.97389881256373,8.21333351135254,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0578.phot.1.fits,
93,UGC12151,ok,4.18386735772451,4.1790562375181874,6,6,0.0006277463904582549,0.00019244480825290525,0.013228605114683463,55.45874076312004,5.69333324432373,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC12151.phot.1.fits,
94,UGC06840,ok,4.1982014395039435,4.195786534324766,27,27,0.0003893294881038212,9.659620716710412e-05,0.01121446209452446,149.60000610351562,17.453334045410156,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC06840.phot.1.fits,
95,UGC02345,ok,4.200416476483675,4.197805501781562,37,37,0.0005941198195160332,0.00010443898808455357,0.01229192838039986,141.24399874578538,11.293333689371744,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC02345.phot.1.fits,
96,IC3115,ok,4.282861116306097,4.279318123922055,12,12,0.000718993409227082,0.0001417196953616908,0.01459435259645368,73.10885872283592,5.459999910990397,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC3115.phot.1.fits,
97,NGC4487,ok,4.294014051237491,4.292787426538218,63,63,0.0006708979383199863,4.906498797092956e-05,0.014284491964658218,172.96968891306093,5.319999821980794,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4487.phot.1.fits,
98,NGC3729,ok,4.304045747559412,4.3024648755769785,31,31,0.00047457938488388115,6.323487929735803e-05,0.018738760918565567,144.53399411827382,9.846666844685872,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3729.phot.1.fits,
99,NGC1879,ok,4.3848279643651695,4.381380885989398,47,47,0.000778171462631213,0.00013788313503086244,0.011903834784743461,139.60000610351562,16.286667378743488,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1879.phot.1.fits,
100,ESO572-030,ok,4.3995808713329465,4.39531253308431,23,23,0.0009760651841792565,0.00017073352994545658,0.012902936519744857,87.19999694824219,10.17333297729492,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO572-030.phot.1.fits,
101,NGC3287,ok,4.434266680521543,4.4311287567212725,24,24,0.0006497022198159177,0.0001255169520108233,0.013040483681177262,109.19999694824219,12.739999643961589,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3287.phot.1.fits,
102,NGC4294,ok,4.490073375554603,4.486921403050748,35,35,0.001648299896392578,0.00012607890015419048,0.009641919912274756,82.31976677803212,4.091447202219937,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4294.phot.1.fits,
103,NGC3380,ok,4.5078398518057,4.504297506233931,18,18,0.0009529355709672296,0.00014169382287077347,0.014708304540714529,77.9776251413477,8.399999999999999,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3380.phot.1.fits,
