evaluation,image,truth_pixels,incremental_pixels,overlap_pixels,masked_fraction,recall,precision,f_score,mean_toy_recall,recovered_toys,toy_count,false_positive_fraction,segments
11,IC1954,832,22715,528,0.021995228153892037,0.6346153846153846,0.02324455205811138,0.04484647725824945,0.5474993469379225,3,6,0.02150128114182492,109
11,NGC0578,838,41827,218,0.01992196393308636,0.26014319809069214,0.005211944437803333,0.01021914918551506,0.3171232534045164,1,6,0.01982604502588264,188
11,NGC3992,1064,94277,578,0.01856502079671443,0.543233082706767,0.006130869671287801,0.01212489904658017,0.6118289431102775,5,6,0.018455067831468965,447
11,NGC3359,1624,48092,1352,0.015906926683991893,0.8325123152709359,0.0281127838309906,0.054388929117386756,0.5867316680857823,4,6,0.015468047428726686,239
12,NGC1097,1064,145928,567,0.042295629430370664,0.5328947368421053,0.0038854777698591088,0.007714705562207468,0.4122743337472538,3,6,0.042144287525510075,740
12,NGC4133,530,26351,79,0.022994533878781954,0.1490566037735849,0.0029979886911312664,0.005877757523901641,0.13573883161512026,1,6,0.022936204316602034,139
12,IC4901,768,70703,327,0.02469349237083791,0.42578125,0.0046249805524518055,0.009150564564648599,0.30392156862745096,2,6,0.024585880097370928,361
12,NGC0986,1256,65803,660,0.03481899972431806,0.5254777070063694,0.010029937844779114,0.019684158725898092,0.4546220201392615,2,6,0.034492691158491226,341
12,NGC0289,1142,42746,353,0.011834519387725721,0.30910683012259194,0.00825808262761428,0.016086401749908857,0.2166573302722619,1,6,0.011740500947980438,226
12,IC1954,832,25565,543,0.02475491999798591,0.6526442307692307,0.021239976530412673,0.04114103875440391,0.5543486620064156,4,6,0.024248661681648853,121
12,NGC0578,838,47147,231,0.022455849894881835,0.2756563245823389,0.004899569431777207,0.009628008752735229,0.33910961895005615,1,6,0.022354748454284167,207
12,NGC3992,1064,106000,838,0.02087351320525398,0.7875939849624061,0.00790566037735849,0.015654188149144436,0.760740741506612,6,6,0.020712834110213976,490
12,NGC3359,1624,53719,1352,0.01776811516546121,0.8325123152709359,0.025168003872000595,0.048858934282565096,0.5867316680857823,4,6,0.017330236193841043,269
13,NGC1097,1064,144154,581,0.04178145499770882,0.5460526315789473,0.00403041192058493,0.008001762866862234,0.4995943407348508,4,6,0.04162589548021862,859
13,NGC4133,530,27085,79,0.023635040419976824,0.1490566037735849,0.002916743585010153,0.005721528154988231,0.13573883161512026,1,6,0.02357700722343767,174
