evaluation,status,objective,score,mean_recall,mean_precision,mean_f_score,mean_toy_recall,toy_detection_rate,mean_masked_fraction,max_masked_fraction,max_masked_fraction_limit,masked_fraction_cap_excess,false_positive_fraction,elapsed_seconds,error,trial_number,detect_thresh,minarea,deblend_nthresh,deblend_cont,back_size,filter_size,dilation_radius,max_area,max_elongation,detect_on
11,ok,-0.35627640709798686,0.35627640709798686,0.4244534251641387,0.00990794499448312,0.019268321387187162,0.37032757253734766,0.3888888888888889,0.022376027357997152,0.03876191202168228,0.15,0.0,0.022187196802573913,1.0679485000000568,,10,2.9208551979662216,30,47,0.003357921923643293,128,1,6,4649,17.84489021863446,residual
12,ok,-0.41196916500613073,0.41196916500613073,0.49896933148106254,0.009889964188598282,0.019310639785045925,0.4182383083278016,0.4444444444444444,0.02472106367284636,0.042295629430370664,0.15,0.0,0.024505116053993636,1.1121258999992278,,11,2.5005231700147412,32,50,0.002904314211792485,128,1,6,4832,19.472439283819384,residual
13,ok,-0.39762438315085524,0.39762438315085524,0.47083714756616374,0.009088767158499005,0.01775646768090707,0.4130779055973339,0.4444444444444444,0.024929676145177024,0.04178145499770882,0.15,0.0,0.02473210855020619,1.1585216999956174,,12,1.809101114337265,36,54,0.0017987857358781093,128,1,5,5270,20.778867161168264,residual
14,ok,-0.4081053025007698,0.4081053025007698,0.5012709426679085,0.006253803990053782,0.012322352210763306,0.42566209185866666,0.4444444444444444,0.03811444999076821,0.0596717688962727,0.15,0.0,0.037908929974567546,1.2824583999972674,,13,1.6026900168100502,30,51,0.0027988015881036487,128,1,5,5995,18.42136217034831,residual
15,ok,-0.4158346509285107,0.4158346509285107,0.49844486163620183,0.005958501455476283,0.011746383452805313,0.4488947626500013,0.46296296296296297,0.03910251278069867,0.06103314280281874,0.15,0.0,0.03890434560379246,1.2132918000061181,,14,1.9953107353245911,23,53,0.0074251528249287485,128,1,5,6315,15.146545426289663,residual
16,ok,-0.41798851413812044,0.41798851413812044,0.4858994748037379,0.006945659823900381,0.01363053600629772,0.45147286677625537,0.48148148148148145,0.031415018324001655,0.05611312533132224,0.15,0.0,0.031232266035614544,1.1782400000010966,,15,2.3143344713133676,23,56,0.011471171278089099,24,1,5,6763,14.92532954864258,residual
17,ok,-0.3979225536101183,0.3979225536101183,0.4625257979721939,0.006144611628551864,0.012074670825484244,0.4350691521330761,0.46296296296296297,0.03499392542015092,0.06187860324254512,0.15,0.0,0.034819927425493,1.2475683000011486,,16,2.2481910488208166,24,58,0.012774121704178519,24,3,5,6804,14.242943394006748,residual
18,ok,-0.33421118600077304,0.33421118600077304,0.3912415611961521,0.007716669976573355,0.015041153043623919,0.35087172841295,0.3888888888888889,0.025897690187254668,0.04594151454223839,0.15,0.0,0.025745309233926695,1.1263455000007525,,17,3.8313535295022363,21,38,0.009830571914016125,24,5,5,6489,14.818645819445157,residual
19,ok,-0.4460291360617065,0.4460291360617065,0.4890100839774094,0.00701869222826041,0.013783124245325367,0.5122582919113775,0.5370370370370371,0.030658089678145112,0.049495230843741696,0.15,0.0,0.030473511501874724,1.165328099996259,,18,3.644646322550377,5,58,0.012083967617582533,24,1,4,7062,14.602542941381643,residual
20,ok,-0.4799473304453223,0.4799473304453223,0.5071883726440483,0.010461955749248485,0.020388180649588004,0.5532322268249609,0.5925925925925926,0.023005718165666766,0.03576294761652326,0.15,0.0,0.022792944823847718,1.298816300004546,,19,3.677341187794879,1,58,0.0008025559875594039,24,1,3,7502,9.506295815734617,residual
21,ok,-0.45549755519201196,0.45549755519201196,0.49195453487764723,0.014114273898064723,0.02721689172919584,0.5124614814675901,0.5370370370370371,0.017146631104462805,0.029060420133262186,0.15,0.0,0.016936414730227264,1.1164463999957661,,20,3.7005013569882284,4,45,0.0007645759513941153,24,1,3,7410,9.080387182739267,residual
22,ok,-0.4949135030345734,0.4949135030345734,0.5210935272580826,0.009426391953719077,0.018429453374404117,0.5797916971612083,0.6111111111111112,0.02611374849809246,0.03951752236325467,0.15,0.0,0.025896188892730702,1.3541467000031844,,21,3.4380937774399825,1,44,0.0008919534202936533,24,1,3,7489,7.709993956706306,residual
23,ok,-0.4456633062602047,0.4456633062602047,0.47199556797855713,0.017080555869629862,0.032625424553188856,0.49915458797112255,0.5370370370370371,0.013665125535068025,0.024518062913038728,0.15,0.0,0.01346089407396097,1.077845799998613,,22,3.7824047820612168,7,43,0.0006225863156956226,24,1,3,7604,6.6882254396031495,residual
24,ok,-0.43831562043674327,0.43831562043674327,0.441441437290523,0.025322252536034526,0.04709531210826617,0.4902339535256835,0.5555555555555556,0.008577923156804699,0.015021487216214987,0.15,0.0,0.00838830306591342,1.401638900002581,,23,3.38386496864354,1,36,5.868706094026934e-05,24,1,2,7485,7.580822939963161,residual
25,ok,-0.26077064983076165,0.26077064983076165,0.28707398146459073,0.01656890432092913,0.030764291107589475,0.2798968666508838,0.2962962962962963,0.009513437423428547,0.01775756762451702,0.15,0.0,0.00938545747204612,1.0207382999942638,,24,4.92900984961881,8,46,0.0010222646729956216,24,7,3,5809,10.520246619728352,residual
26,ok,-0.31860882614942554,0.31860882614942554,0.3352245910146592,0.0333270637108095,0.05842830511319351,0.35148824779572807,0.35185185185185186,0.005444403241145322,0.010942872438076616,0.15,0.0,0.00529584029422673,1.136942099998123,,25,4.060071664881332,5,34,0.0007224092898713704,16,5,2,7969,5.419362509120025,residual
27,ok,-0.355638171520594,0.355638171520594,0.4038909502666918,0.015100980329800569,0.028879833278566008,0.3672907751890658,0.4074074074074074,0.01300496763321368,0.02192110523736222,0.15,0.0,0.01282318724507383,1.0188581999973394,,26,3.4867564908763313,10,19,7.565516962638623e-05,96,1,3,7200,9.740194940287248,residual
28,ok,-0.4667450713896118,0.4667450713896118,0.5103638221123781,0.00975921648394728,0.01907116984281428,0.5140901113483142,0.5740740740740741,0.025202129706363485,0.04089048983085284,0.15,0.0,0.024989595683747357,1.4143951000005472,,27,2.802122720988601,1,47,0.0004766856354763032,48,3,3,5596,9.048585340069573,residual
29,ok,-0.3953570502564251,0.3953570502564251,0.42374646683844785,0.028059299036973098,0.051713550243493986,0.4340750989500132,0.4444444444444444,0.007720748979403707,0.015310166886412955,0.15,0.0,0.007539427063522607,1.3802275999987614,,28,2.854679129174154,1,49,2.5802523780518616e-05,48,3,2,4013,12.583589283191262,residual
30,ok,-0.3658734128066211,0.3658734128066211,0.42926627736705797,0.007946441782466325,0.015533651004515073,0.3947439328552375,0.4074074074074074,0.026448981785744896,0.04196821032680216,0.15,0.0,0.026269265594763044,1.1432849999982864,,29,2.6565830301741924,17,33,0.00040982051842481824,192,3,4,5817,5.413681693353309,residual
31,ok,-0.42864448308788705,0.42864448308788705,0.4962421791689661,0.008213958420853379,0.016098718698694222,0.455903808790634,0.5,0.0296766874072009,0.048433260651366834,0.15,0.0,0.02946705766049572,1.1810418000022764,,30,3.3001451189224373,8,59,0.0001221196427784505,48,3,4,3762,4.080715382667562,residual
32,ok,-0.2996236595180701,0.2996236595180701,0.3274325029030821,0.014040331920226603,0.026569596376665134,0.3260342561447284,0.35185185185185186,0.012302214727890715,0.023332911134485018,0.15,0.0,0.012160906308813065,1.0485149000014644,,31,4.064236345535038,5,43,0.0011202515993797122,32,7,3,7398,8.64139220056075,residual
33,ok,-0.3764566898612343,0.3764566898612343,0.4063081632906907,0.014336863351368183,0.027451084194684665,0.4194162887979923,0.4444444444444444,0.014060099228647796,0.024899780910680017,0.15,0.0,0.01388253633747285,1.070363400001952,,32,4.116428661109066,3,46,0.0012266577146023585,48,3,3,7080,9.14049852730403,residual
34,ok,-0.3448001061863718,0.3448001061863718,0.3938176592626814,0.014345351278763914,0.027462892075066705,0.3590385937103729,0.3888888888888889,0.013641769079243884,0.02207587927740812,0.15,0.0,0.013464518489676752,1.045356399998127,,33,3.21524396936526,12,64,0.0005225545419333847,192,1,3,6493,11.589193092876783,residual
35,ok,-0.2777484376173947,0.2777484376173947,0.28983453581250324,0.021268357040614368,0.03854462657955195,0.30280367945448344,0.3333333333333333,0.0068988565474650725,0.013653736851090273,0.15,0.0,0.006780311056337523,1.1079384999975446,,34,3.594662238195271,4,40,0.005592918674299348,24,7,2,7970,12.22440058806659,residual
36,ok,-0.3063322349628359,0.3063322349628359,0.32417753278464095,0.017241468926023833,0.03231232270902259,0.31959293400524547,0.3888888888888889,0.00923309229786046,0.01599824473485671,0.15,0.0,0.00909096613790071,0.9624750000002678,,35,4.5239394576001954,8,45,0.0003896373448907512,96,1,3,5494,2.2271411773480523,residual
37,ok,-0.49237953512570676,0.49237953512570676,0.569450668753134,0.0099723477253598,0.01950726479588778,0.5298980066580663,0.5555555555555556,0.02843092784220243,0.04794227334080925,0.15,0.0,0.028190136064757627,1.2531767999971635,,36,2.7298282694828164,14,54,0.0001727281453692418,24,3,4,6069,5.926302330371385,residual
38,ok,-0.3936157628049559,0.3936157628049559,0.45057550734928703,0.008488364603225862,0.016583218112861578,0.421165302864386,0.46296296296296297,0.025883078782322586,0.04157453016336139,0.15,0.0,0.025693997193435434,1.1577293000009377,,37,2.6890718807112393,18,54,0.00016417503785003338,256,3,4,6158,5.671075894772232,residual
39,ok,-0.43323689321644326,0.43323689321644326,0.5081138128466461,0.006206316834028472,0.012227216342439895,0.46869247132532926,0.5,0.03760755771460072,0.057171327616355155,0.15,0.0,0.03740476928515066,1.491298499997356,,38,2.256148902744872,13,60,7.588247594414186e-05,64,3,4,4302,3.706146546457912,residual
40,ok,-0.3023209918895317,0.3023209918895317,0.3487524312997266,0.014323980805835825,0.027231582572053395,0.31437072823632106,0.3333333333333333,0.013328150022480258,0.02448994852748732,0.15,0.0,0.013168298552696057,0.9818585999964853,,39,4.880265469620821,15,51,0.00019938406349418505,48,3,4,2963,6.935016257727571,residual
