rank,name,catalogue,candidate_rank,x,y,score,peak
61,NGC2681,weak_Gaia,1,409.0612495595352,726.524908912486,0.34052233606451865,93.230967994681
62,NGC4450,2MASS,1,424.6841132862712,973.475131861134,0.9203977179786664,343.0427739008644
62,NGC4450,2MASS,2,479.1367410645211,986.4876365571,0.14720597054203863,47.7520333318378
62,NGC4450,weak_Gaia,1,471.83350651275566,1002.6915241967636,0.03474600211411692,5.350392974651626
62,NGC4450,weak_Gaia,2,512.3511505639423,927.5188674620232,0.014294250328254113,13.757192065765146
63,IC1953,2MASS,1,278.6590217094873,201.15253249471994,0.832940562988851,94.73764600906365
63,IC1953,weak_Gaia,1,278.2805948404337,200.92604631656823,0.3210435819688039,94.73764600906365
63,IC1953,weak_Gaia,2,323.2056504452077,168.89879478206407,0.2722366760455404,16.40047408788842
64,IC2007,2MASS,1,249.53505678770657,301.94966612713966,1.240389358199568,510.08284306322577
64,IC2007,weak_Gaia,1,249.61608955427155,302.00236785481064,0.25322680574219064,510.08284306322577
64,IC2007,weak_Gaia,2,286.0129778241153,289.85236292107686,0.09582201857239354,15.203646848149134
64,IC2007,weak_Gaia,3,294.70997225380773,284.24336280909233,0.025670273026257587,13.352308468479393
65,NGC7531,2MASS,1,828.9899878283804,893.7944099004261,1.6015360360957636,1493.9794808645368
65,NGC7531,weak_Gaia,1,927.9415500698819,944.036220584336,0.10008947224203865,32.71160500039637
65,NGC7531,weak_Gaia,2,886.049298611951,999.580689105647,0.053617861730735246,32.366571601228074
65,NGC7531,weak_Gaia,3,852.6240460665671,1000.4425961821245,0.0015310087322492009,6.913388716219074
66,NGC4064,2MASS,1,371.9396505187431,916.730767773106,0.7659845949508967,647.5050121814239
66,NGC4064,2MASS,2,393.0574175969446,932.366459616511,0.521370756740896,72.65536915744704
66,NGC4064,2MASS,3,357.514461260582,852.8383899589288,0.29581069447065717,174.4568792567479
66,NGC4064,weak_Gaia,1,371.6231707664354,916.1065328703252,0.21299954776776936,647.5050121814239
66,NGC4064,weak_Gaia,2,348.82341401730315,860.6415816568956,0.15644257071660678,54.72227016993121
66,NGC4064,weak_Gaia,3,399.31876630561095,859.4854666668064,0.010996611761404764,6.016583822339457
67,NGC1302,2MASS,1,564.9155013227299,669.1459795518718,0.9658124755673951,261.6339519553602
67,NGC1302,2MASS,2,606.0930636296125,562.325863760224,0.5427379312502966,236.6713471186974
67,NGC1302,2MASS,3,619.753038045426,618.7905757457837,0.3701025787863058,55.15798716606024
67,NGC1302,weak_Gaia,1,526.5117336477011,619.8761838012822,0.34036850465728313,57.810890293
67,NGC1302,weak_Gaia,2,564.7048178583558,669.091148364173,0.26448538994804377,261.6339519553602
67,NGC1302,weak_Gaia,3,606.2110255820932,561.3501661759262,0.20349370611765172,236.6713471186974
67,NGC1302,weak_Gaia,4,626.7564828155454,687.6418340394714,0.18946131174808933,41.365268001638746
67,NGC1302,weak_Gaia,5,619.3874569804782,619.5898610226561,0.13473030366673067,55.15798716606024
67,NGC1302,weak_Gaia,6,699.6943111847768,554.6230070953004,0.10409270743411249,37.410120845054244
67,NGC1302,weak_Gaia,7,700.3439002092547,653.9670523084649,0.07318757681570763,8.201865275831187
67,NGC1302,weak_Gaia,8,705.5206131920536,575.8926752835677,0.019589431918282534,6.611724077032791
68,NGC3359,2MASS,1,1148.0340300333633,675.8193486794916,0.576260672964208,188.2179917168885
68,NGC3359,2MASS,2,1193.998612339055,605.3086005135121,0.46595334886628625,112.33970343640235
68,NGC3359,2MASS,3,1041.1432854191387,676.8843407485467,0.4512492793348894,103.71588054755978
68,NGC3359,2MASS,4,1043.9744942316056,625.0852390875735,0.1894848116017167,91.20010589245464
68,NGC3359,weak_Gaia,1,923.5240210580757,726.9071899043399,0.35875045890825336,59.20117331176941
68,NGC3359,weak_Gaia,2,1193.9454208877146,605.1676179478914,0.3336180310894178,112.33970343640235
68,NGC3359,weak_Gaia,3,948.3829814433642,625.510835674484,0.32638780180721344,50.978402606408096
68,NGC3359,weak_Gaia,4,1166.8302440663995,650.1324226324864,0.31228803898101276,26.79340257945403
68,NGC3359,weak_Gaia,5,1068.392008948067,809.5962852434127,0.301737283678567,33.01243849841662
68,NGC3359,weak_Gaia,6,1148.1400914386566,675.9318557772522,0.27354147189412287,188.2179917168885
