name,status,report_png,cleaned_fits,raw_segments,kept_segments,masked_fraction,background_level,background_rms,elapsed_seconds,error
IC1953,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\IC1953_sep_thr3.4_area1_deb0.0009_dil3.png,,810,809,0.05755037533463189,-0.004563699476420879,0.025847053155303,0.7491769999905955,
IC1954,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\IC1954_sep_thr3.4_area1_deb0.0009_dil3.png,,1119,1118,0.06459421878449614,-0.00482564140111208,0.019932204857468605,0.9972543999901973,
IC2007,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\IC2007_sep_thr3.4_area1_deb0.0009_dil3.png,,1239,1238,0.0793817519705165,-0.004910949617624283,0.01966736651957035,0.8436146000021836,
IC3115,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\IC3115_sep_thr3.4_area1_deb0.0009_dil3.png,,1164,1163,0.0404193611601019,-0.003963501192629337,0.020761441439390182,0.9538111000001663,
IC3517,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\IC3517_sep_thr3.4_area1_deb0.0009_dil3.png,,709,707,0.04459001461096007,-0.003914644010365009,0.018643192946910858,0.7906624000024749,
IC3521,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\IC3521_sep_thr3.4_area1_deb0.0009_dil3.png,,1232,1231,0.043609062490515646,-0.004552894271910191,0.021066835150122643,0.9560494000033941,
IC4901,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\IC4901_sep_thr3.4_area1_deb0.0009_dil3.png,,3483,3482,0.07278892604979562,-0.01034175418317318,0.026220092549920082,1.4661656999960542,
IC5273,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\IC5273_sep_thr3.4_area1_deb0.0009_dil3.png,,1321,1320,0.045735729590485594,-0.004294227343052626,0.019930481910705566,0.9609872000000905,
NGC0210,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC0210_sep_thr3.4_area1_deb0.0009_dil3.png,,2309,2308,0.07638063466404645,-0.003975885454565287,0.019279219210147858,1.4713840000040364,
NGC0255,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC0255_sep_thr3.4_area1_deb0.0009_dil3.png,,929,928,0.03217754428761604,-0.0032717976719141006,0.0210715401917696,0.9583961000025738,
