evaluation,image,truth_pixels,incremental_pixels,overlap_pixels,masked_fraction,recall,precision,f_score,mean_toy_recall,recovered_toys,toy_count,false_positive_fraction,segments
15,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
15,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
15,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
15,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
16,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
16,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
16,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,4
16,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
16,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
16,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
16,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,2
16,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,2
16,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
17,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
17,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
17,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
17,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
17,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
17,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
17,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
17,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
17,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
18,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
18,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
18,IC4901,768,321,0,0.00011211138213426543,0.0,0.0,0.0,0.0,0,6,0.00011214146173775248,1
18,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
18,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
18,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
18,NGC0578,838,366,0,0.0001743237334618693,0.0,0.0,0.0,0.0,0,6,0.00017439333988976055,2
18,NGC3992,1064,324,0,6.380205923115368e-05,0.0,0.0,0.0,0.0,0,6,6.381543001948734e-05,2
18,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
19,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
19,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
19,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
19,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
19,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
19,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
19,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
19,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,2
19,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
20,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
20,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
20,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
20,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
20,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
20,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
20,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
20,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
20,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
21,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
21,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
21,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
21,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
21,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
21,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
21,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
21,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
21,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
22,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
22,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
22,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
22,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
22,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
22,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
22,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
22,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
22,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
23,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
23,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
23,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
23,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
23,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
23,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
23,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
23,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
23,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
24,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
24,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
