evaluation,status,objective,score,mean_recall,mean_precision,mean_f_score,mean_toy_recall,toy_detection_rate,mean_masked_fraction,max_masked_fraction,max_masked_fraction_limit,masked_fraction_cap_excess,false_positive_fraction,elapsed_seconds,error,trial_number,move_factor,min_distance,gaussian_fwhm,bg_variance,minarea,dilation_radius,max_area,max_elongation,detect_on,alpha,move_factor,min_distance,gaussian_fwhm,bg_variance,minarea,dilation_radius,max_area,max_elongation
11,ok,8.760974336769453e-05,-8.760974336769453e-05,0.0,0.0,0.0,0.0,0.0,3.5041693542209237e-05,0.00013240983033442532,0.15,0.0,3.5052712566552105e-05,2.746898199999123,,10,0.30680151071658,0.38239877241502485,1.4998989940186682,6672.968800000001,20,4,2975,11.488175299500158,original,1e-06,0.30680151071658,0.38239877241502485,1.4998989940186682,6672.968800000001,20,4,2975,11.488175299500158
12,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.789476799996919,,11,0.6853964644550681,0.02126924194276518,3.03997412940735,7834.348800000001,2,8,1169,13.19268067319032,original,1e-06,0.6853964644550681,0.02126924194276518,3.03997412940735,7834.348800000001,2,8,1169,13.19268067319032
13,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.5763854999968316,,12,0.676453994008581,0.21361236523573668,3.2120646485273014,9889.6903,46,6,811,19.35545102494332,original,1e-06,0.676453994008581,0.21361236523573668,3.2120646485273014,9889.6903,46,6,811,19.35545102494332
14,ok,3.555647865460671e-05,-3.555647865460671e-05,0.0,0.0,0.0,0.0,0.0,1.4221995370456067e-05,0.0001279979583341046,0.15,0.0,1.4224975827389154e-05,2.9473832999938168,,13,0.5270265171192587,0.5070084616344894,2.2180725866793876,7718.984600000001,14,7,1691,6.484958249157955,original,1e-06,0.5270265171192587,0.5070084616344894,2.2180725866793876,7718.984600000001,14,7,1691,6.484958249157955
15,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.5712078000069596,,14,0.8220126285260061,0.7950578211689739,3.5470013101933837,9934.7309,65,6,901,19.80827986458313,original,1e-06,0.8220126285260061,0.7950578211689739,3.5470013101933837,9934.7309,65,6,901,19.80827986458313
16,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.694822199991904,,15,0.9997465295641497,0.49890433648636207,1.2337522746072682,5567.495000000001,42,3,79,8.792521679805468,original,1e-06,0.9997465295641497,0.49890433648636207,1.2337522746072682,5567.495000000001,42,3,79,8.792521679805468
17,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.5311270999955013,,16,0.8064706343429553,0.21288744998713088,2.6554732122709854,8207.2418,10,5,385,3.7129485677670715,original,1e-06,0.8064706343429553,0.21288744998713088,2.6554732122709854,8207.2418,10,5,385,3.7129485677670715
18,ok,9.729438505311967e-05,-9.729438505311967e-05,0.0,0.0,0.0,0.0,0.0,3.891524164747649e-05,0.0001743237334618693,0.15,0.0,3.892780351633337e-05,2.896028399991337,,17,0.711633763996198,0.7581189364621759,3.5242455315566015,4809.539500000001,36,7,1642,14.552117585488146,original,1e-06,0.711633763996198,0.7581189364621759,3.5242455315566015,4809.539500000001,36,7,1642,14.552117585488146
19,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.5905185000010533,,18,0.2108170825999684,0.9866760009896991,2.101839910528757,6900.978300000001,55,2,989,10.337636677763458,original,1e-06,0.2108170825999684,0.9866760009896991,2.101839910528757,6900.978300000001,55,2,989,10.337636677763458
20,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.527967999994871,,19,0.552335122268952,0.5128595241481679,2.8670335519174897,9217.4468,69,5,1551,4.366900465528263,original,1e-06,0.552335122268952,0.5128595241481679,2.8670335519174897,9217.4468,69,5,1551,4.366900465528263
