rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
142,NGC3726,ok,90.76631510931806,90.2004322734534,27,386,0.02263531343458629,0.02002476790730591,90.7393872904906,52.93130925278618,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3726.phot.1.fits,
143,NGC1493,ok,92.28927074845055,92.08059188279351,22,307,0.008347154626281302,0.011449628055198119,133.1999969482422,77.69999821980795,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1493.phot.1.fits,
144,NGC4532,ok,93.15260571662844,92.47269801924918,16,330,0.027196307895170593,0.007376222936959308,76.51537709978284,44.633969974873324,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4532.phot.1.fits,
145,NGC1879,ok,93.32677205514011,93.13302159088181,25,313,0.007750018570332038,0.010797039624613014,139.60000610351562,81.43333689371744,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1879.phot.1.fits,
146,NGC4449,ok,95.05264427705337,94.64832857293588,26,359,0.016172628164699523,0.036496635206732346,103.49195169965843,60.37030515813409,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4449.phot.1.fits,
147,NGC3227,ok,101.44320810713029,101.25556317812008,30,369,0.007505797160408446,0.01102598678358031,154.01171493551757,89.84016704571859,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3227.phot.1.fits,
148,NGC4654,ok,107.37850190751273,106.26137259133128,25,462,0.04468517264725796,0.029466882562438464,70.62957526317489,41.20058557018535,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4654.phot.1.fits,
149,NGC6217,ok,111.89533847586534,111.65934951447468,29,366,0.009439558455626338,0.01069927475463905,136.8000030517578,79.80000178019205,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC6217.phot.1.fits,
150,NGC0672,ok,116.79096613736887,116.44806564817449,30,443,0.013716019567775094,0.011796081468334916,124.82797166333211,72.8163168036104,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0672.phot.1.fits,
151,NGC7513,ok,127.50820674678523,127.22913014760287,32,456,0.011163063967294181,0.011854834815511226,140.39999389648438,81.89999643961588,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC7513.phot.1.fits,
152,NGC2968,ok,130.25243645516352,129.97003194671018,32,451,0.011296180338134001,0.007627758963749269,138.8000030517578,80.96666844685873,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC2968.phot.1.fits,
153,NGC3185,ok,131.91312561901904,131.57563710798962,34,470,0.013499540441176471,0.011947918800568759,129.60000610351562,75.60000356038412,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3185.phot.1.fits,
154,NGC3359,ok,136.92499659965213,136.672912902036,34,519,0.010083347904645334,0.01140158073251614,157.60000610351562,91.93333689371744,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3359.phot.1.fits,
155,NGC1255,ok,137.54770956483932,136.84024198541493,32,587,0.028298703176975366,0.01550597887807987,100.0,58.333333333333336,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1255.phot.1.fits,
156,NGC4123,ok,140.22144408710162,140.06309147137495,40,490,0.006334104629067077,0.011358116648098417,193.1999969482422,112.69999821980794,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4123.phot.1.fits,
157,NGC7552,ok,142.66090755690334,142.27091491525508,36,530,0.015599705665930831,0.009761269850587903,128.01611042681805,74.67606441564385,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC7552.phot.1.fits,
158,NGC4389,ok,142.89290428414978,142.66369969504805,42,549,0.009168183564068736,0.010894916849153313,170.0,99.16666666666666,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4389.phot.1.fits,
159,NGC5134,ok,148.94707629478486,148.75835564523473,44,516,0.007548825982005705,0.011543888287841503,181.60000610351562,105.93333689371744,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5134.phot.1.fits,
