rank,name,catalogue,candidate_rank,x,y,score,peak
29,NGC1808,weak_Gaia,4,765.7528209515367,334.5613458087933,0.29562918719315545,96.06466717513783
29,NGC1808,weak_Gaia,5,791.4118068067995,507.7887400854681,0.28979922306416656,343.48910287416976
29,NGC1808,weak_Gaia,6,631.6036649110545,161.54142637858786,0.2890383844799544,153.7269830522939
29,NGC1808,weak_Gaia,7,776.860385223941,578.9461939990397,0.2829432340931555,344.7428537135506
29,NGC1808,weak_Gaia,8,1073.286252570576,260.7282708196422,0.27853667890069184,47.10825251358952
29,NGC1808,weak_Gaia,9,1119.0204820476927,492.42313027934443,0.2778428748692595,559.9666800522689
29,NGC1808,weak_Gaia,10,838.1781894162532,363.3285356468037,0.27708454112977804,139.2061328840705
29,NGC1808,weak_Gaia,11,1105.0793351446077,291.46183049169383,0.27578099460103694,132.96977057720918
29,NGC1808,weak_Gaia,12,741.8594146504594,460.1082749861214,0.2757730706062028,82.15906555693668
29,NGC1808,weak_Gaia,13,618.6923583623748,251.16036241054314,0.27480144701682224,551.1350542493271
29,NGC1808,weak_Gaia,14,823.4679425364706,435.2902918581894,0.27012139649352634,157.69209765748357
29,NGC1808,weak_Gaia,15,727.3121721077285,216.06280616035994,0.2685828953677604,357.0799094358669
29,NGC1808,weak_Gaia,16,1107.853318930237,200.94915656922737,0.26344369018494024,655.9483067520226
29,NGC1808,weak_Gaia,17,811.2630600294304,322.6648861796786,0.26289552455993165,220.19567448294913
29,NGC1808,weak_Gaia,18,1031.2308293569426,162.67981773061493,0.2616287634970454,822.2994132868773
29,NGC1808,weak_Gaia,19,740.5518318233339,463.57566845930614,0.26138557946774454,79.9230627873987
29,NGC1808,weak_Gaia,20,1062.0881196721512,518.3885528613815,0.25916628406919673,1479.3024196442668
29,NGC1808,weak_Gaia,21,680.2158142780637,507.9455267543089,0.25731738566756585,66.8340812409889
29,NGC1808,weak_Gaia,22,657.519479022337,140.36182643300043,0.25512154297279266,71.73099778271828
29,NGC1808,weak_Gaia,23,636.0215508641346,329.86270814987023,0.25250292685440795,55.40578344604034
29,NGC1808,weak_Gaia,24,779.747440177773,316.6390110023245,0.2514289230985478,1016.5054042998167
29,NGC1808,weak_Gaia,25,1081.6649447212749,434.451232293944,0.24685561331948327,226.28676811381376
29,NGC1808,weak_Gaia,26,730.501372814161,562.1138200991622,0.23977495562390175,127.18082637060083
29,NGC1808,weak_Gaia,27,846.2850510861892,430.6021917705391,0.23819211994617642,40.51883045508308
