rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
138,NGC4020,ok,157.96782733052044,157.1639482951753,28,504,0.0321551614138063,0.00966679128590847,71.1200603087629,8.297340369355672,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4020.phot.1.fits,
139,NGC4654,ok,166.77852049314643,165.7625365418101,40,628,0.0406393580534524,0.034930184427133824,70.62957526317489,8.24011711403707,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4654.phot.1.fits,
140,NGC4781,ok,175.5432798132823,174.58332369699048,36,630,0.03839824465167307,0.02493433933108598,72.80000305175781,8.493333689371743,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4781.phot.1.fits,
141,NGC0289,ok,179.28201395930643,178.43850571063462,27,724,0.03374032994687296,0.01767245071430291,83.19999694824219,9.706666310628256,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0289.phot.1.fits,
142,NGC3227,ok,182.7027423653675,182.49523678652898,42,610,0.008300223153540521,0.011895511590709167,154.01171493551757,17.968033409143718,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3227.phot.1.fits,
143,NGC0672,ok,193.30973504771978,192.97464078627374,41,647,0.013403770457841309,0.01293745415051224,124.82797166333211,14.563263360722079,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0672.phot.1.fits,
144,NGC1255,ok,195.92862102982244,195.36569964526166,51,698,0.022516855382431693,0.017046409444298107,100.0,11.666666666666666,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1255.phot.1.fits,
145,NGC3185,ok,196.4110369265972,196.1237799901588,44,598,0.011490277457535931,0.01233457135417091,129.60000610351562,15.120000712076823,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3185.phot.1.fits,
146,NGC4449,ok,205.4798238173521,204.99469409788364,44,644,0.019405188778738664,0.0423691682115981,103.49195169965843,12.074061031626815,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4449.phot.1.fits,
147,NGC7531,ok,206.66446047751558,206.17312088458388,35,674,0.019653583717268327,0.012156922582035599,105.19999694824219,12.27333297729492,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC7531.phot.1.fits,
148,NGC2968,ok,206.92731125559078,206.64336787674833,46,678,0.011357735153697965,0.008137082802727754,138.8000030517578,16.193333689371745,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC2968.phot.1.fits,
149,NGC4204,ok,223.47461852673877,223.32506933542817,56,692,0.005981967652423475,0.010532413414068985,193.1999969482422,22.539999643961586,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4204.phot.1.fits,
150,NGC4314,ok,241.51266483091163,241.31669618589484,60,770,0.007838745800671893,0.010658936866430104,178.0453886170892,20.771962005327072,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4314.phot.1.fits,
151,NGC3504,ok,255.7563896041724,254.89465678034023,46,884,0.03446931295328706,0.008909111053946803,90.98462513567253,10.614872932495128,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3504.phot.1.fits,
152,NGC1493,ok,259.7704096741673,259.4062128168997,60,801,0.01456787429070275,0.012789299015541659,133.1999969482422,15.539999643961588,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1493.phot.1.fits,
153,NGC4532,ok,267.77207577852204,266.5274512333682,32,903,0.04978498180615283,0.008169633431424081,76.51537709978284,8.926793994974664,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4532.phot.1.fits,
154,NGC5134,ok,277.17894735073617,276.9653892228068,65,873,0.008542325117175651,0.011863114889592189,181.60000610351562,21.186667378743486,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5134.phot.1.fits,
155,NGC7513,ok,290.3693928104675,289.99325908858543,58,919,0.015045348875282407,0.012698113237734086,140.39999389648438,16.379999287923177,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC7513.phot.1.fits,
156,NGC4123,ok,290.3723576186568,290.1765283921174,72,906,0.007833169061575971,0.011768523031965104,193.1999969482422,22.539999643961586,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4123.phot.1.fits,
157,NGC4116,ok,294.3110505072711,293.95952407278594,61,929,0.014061057379406378,0.009736856200693884,146.0,17.03333333333333,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4116.phot.1.fits,
158,NGC4389,ok,295.2517059884023,294.9870582379082,63,948,0.010585910019764833,0.011143177637108984,170.0,19.833333333333332,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4389.phot.1.fits,
159,NGC7496,ok,307.9319618498394,307.56462946752845,65,1030,0.014693295292439372,0.0133681537313461,150.39999389648438,17.54666595458984,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC7496.phot.1.fits,
160,NGC0210,ok,334.22991982093043,334.0316828951277,80,1092,0.007929477032110025,0.010695157627386886,210.8000030517578,24.593333689371743,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0210.phot.1.fits,
161,NGC3359,ok,339.1235585639019,338.75913086479835,71,1122,0.014577107964141873,0.012344395776863283,157.60000610351562,18.38666737874349,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3359.phot.1.fits,
162,NGC3673,ok,353.7433220512867,353.45621449553636,70,1048,0.011484302230014794,0.011435688769482918,171.60000610351562,20.020000712076822,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3673.phot.1.fits,
163,NGC6217,ok,361.25223453598994,360.7538039885787,62,1156,0.019937221896450624,0.011808998779839631,136.8000030517578,15.96000035603841,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC6217.phot.1.fits,
164,NGC7418,ok,367.50140426245775,366.82079301286416,82,1256,0.027224449983743362,0.016045488604827237,122.0,14.23333333333333,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC7418.phot.1.fits,
165,NGC1350,ok,370.13845443129395,369.9623248145863,92,1151,0.007045184668307075,0.011411875874162866,229.60000610351562,26.78666737874349,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1350.phot.1.fits,
166,NGC1512,ok,376.00733027347655,375.6971454780564,87,1179,0.012407391816804177,0.008745857012949478,175.10249705400932,20.428624656301086,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1512.phot.1.fits,
167,NGC3319,ok,398.32218396911844,397.8867618244203,94,1338,0.017416885787925333,0.005468100605802119,157.44509154418546,18.368594013488302,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3319.phot.1.fits,
168,NGC0986,ok,401.72937903962674,400.6403405278584,66,1501,0.04356154047073164,0.009228148307574744,105.45388252678636,12.302952961458407,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0986.phot.1.fits,
169,NGC3992,ok,411.1080664439789,410.8793960154372,108,1407,0.0091468171416684,0.01293053173093289,222.8000030517578,25.99333368937174,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3992.phot.1.fits,
170,NGC7552,ok,414.53973865311076,413.8703155383244,72,1360,0.02677692459145501,0.010566905248957025,128.01611042681805,14.93521288312877,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC7552.phot.1.fits,
171,NGC4535,ok,453.92438490337946,453.34914346602477,100,1613,0.023009657494186958,0.01788045782450674,150.39999389648438,17.54666595458984,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4535.phot.1.fits,
172,NGC1291,ok,466.5205042675739,466.31506488000196,122,1447,0.008217575502879274,0.012635029215754922,238.3748153438122,27.810395123444756,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1291.phot.1.fits,
173,NGC4293,ok,467.47565616884685,467.08839510078917,87,1761,0.015490442722306765,0.006658398594689103,191.53367591702698,22.345595523653145,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4293.phot.1.fits,
174,NGC1187,ok,488.6921241817614,488.16477214527436,106,1591,0.021094081459482394,0.013784630795125671,156.0,18.2,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1187.phot.1.fits,
175,NGC7582,ok,545.6880091046004,545.3283553632723,91,1858,0.014386149653121903,0.011547886863377262,204.39999389648438,23.84666595458984,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC7582.phot.1.fits,
176,NGC2903,ok,823.7201550828865,822.8162025685969,148,3125,0.036158100571587255,0.024432128491411496,167.00951718986735,19.48444367215119,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC2903.phot.1.fits,
177,NGC1097,ok,926.3687005728631,925.8719947405165,205,3272,0.019868233293864043,0.010427692826954849,230.52709203530043,26.89482740411838,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1097.phot.1.fits,
178,NGC3627,ok,971.9742496094551,970.9361704817824,161,3412,0.041523165106911196,0.020756700733881552,162.84041769042955,18.99804873055011,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3627.phot.1.fits,
179,NGC1672,ok,1020.2708216524082,1019.411485275289,192,3546,0.03437345508477041,0.010475684930397244,182.45974467215723,21.286970211751676,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1672.phot.1.fits,
180,NGC4725,ok,1089.1921133252033,1088.8903631743283,252,3420,0.012070006035003017,0.009407158210064824,302.3828845900574,35.278003202173366,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4725.phot.1.fits,
181,NGC1808,ok,1946.2719559860968,1945.8035304839007,396,6117,0.018737020087849884,0.007187502378925255,335.4904988717229,39.140558201701005,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1808.phot.1.fits,
182,NGC5236,ok,4687.403498665613,4686.83189156586,905,14966,0.02286428399011241,0.0267700359527589,459.6000061035156,53.62000071207682,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5236.phot.1.fits,
