name,status,png,raw_segments,kept_segments,masked_fraction,background_level,background_rms,error
NGC1879,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1879_sep_thr2.2_area15_deb0.0005_dil5.png,429,428,0.11674533173593324,0.03577175363898277,0.016906771808862686,
NGC2500,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC2500_sep_thr2.2_area15_deb0.0005_dil5.png,552,549,0.12799478786817975,0.03444045037031174,0.016619887202978134,
NGC2681,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC2681_sep_thr2.2_area15_deb0.0005_dil5.png,782,781,0.10865194162803396,0.010683158412575722,0.015474059619009495,
NGC2903,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC2903_sep_thr2.2_area15_deb0.0005_dil5.png,3459,3456,0.16518687057631057,0.0752481147646904,0.010331333614885807,
NGC2968,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC2968_sep_thr2.2_area15_deb0.0005_dil5.png,984,982,0.0854693023926274,0.0700325295329094,0.015891674906015396,
NGC3185,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3185_sep_thr2.2_area15_deb0.0005_dil5.png,556,555,0.08180913342680095,0.07495645433664322,0.02081635594367981,
NGC3227,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3227_sep_thr2.2_area15_deb0.0005_dil5.png,247,245,0.04713805862574272,0.1181848868727684,0.03376828506588936,
NGC3264,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3264_sep_thr2.2_area15_deb0.0005_dil5.png,325,324,0.03905475186943672,0.03362156078219414,0.021725695580244064,
NGC3287,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3287_sep_thr2.2_area15_deb0.0005_dil5.png,381,380,0.05129141880734237,0.09859609603881836,0.022170916199684143,
NGC3319,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3319_sep_thr2.2_area15_deb0.0005_dil5.png,1014,1013,0.2357484776821926,0.017726046964526176,0.006785430945456028,
NGC3344,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3344_sep_thr2.2_area15_deb0.0005_dil5.png,553,552,0.11907328145490279,0.026279490441083908,0.017797797918319702,
NGC3359,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3359_sep_thr2.2_area15_deb0.0005_dil5.png,815,815,0.05813940027195116,0.04053106904029846,0.021703500300645828,
NGC3380,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3380_sep_thr2.2_area15_deb0.0005_dil5.png,288,287,0.06472807021535074,0.08649041503667831,0.020225511863827705,
NGC3447,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3447_sep_thr2.2_area15_deb0.0005_dil5.png,328,327,0.07913478509783613,0.07126440107822418,0.02026275172829628,
NGC3485,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3485_sep_thr2.2_area15_deb0.0005_dil5.png,338,337,0.08590269029919155,0.10458032041788101,0.020725306123495102,
NGC3486,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3486_sep_thr2.2_area15_deb0.0005_dil5.png,956,955,0.18303765950824774,0.06821496784687042,0.008306775242090225,
NGC3504,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3504_sep_thr2.2_area15_deb0.0005_dil5.png,1127,1126,0.12069150459527715,0.05434643477201462,0.011049044318497181,
NGC3627,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3627_sep_thr2.2_area15_deb0.0005_dil5.png,1438,1433,0.10520273903382331,0.05872885137796402,0.012773379683494568,
NGC3673,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3673_sep_thr2.2_area15_deb0.0005_dil5.png,1604,1602,0.09643712678195437,0.031076906248927116,0.023083318024873734,
NGC3681,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3681_sep_thr2.2_area15_deb0.0005_dil5.png,267,266,0.06598247211263461,0.1179061308503151,0.01978381723165512,
NGC3684,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3684_sep_thr2.2_area15_deb0.0005_dil5.png,372,371,0.05282171895350454,0.14170360565185547,0.021369049325585365,
NGC3726,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3726_sep_thr2.2_area15_deb0.0005_dil5.png,548,547,0.13644893503069253,0.012183540500700474,0.014661774039268494,
NGC3729,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3729_sep_thr2.2_area15_deb0.0005_dil5.png,270,269,0.058042510167450524,0.012482119724154472,0.02798769623041153,
NGC3850,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3850_sep_thr2.2_area15_deb0.0005_dil5.png,336,335,0.06975044085805487,0.022605644538998604,0.01918873004615307,
NGC3930,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3930_sep_thr2.2_area15_deb0.0005_dil5.png,370,369,0.04401994828485186,0.06875065714120865,0.02111932821571827,
NGC3953,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3953_sep_thr2.2_area15_deb0.0005_dil5.png,944,943,0.08829506746135944,0.009088207967579365,0.014749581925570965,
NGC3992,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3992_sep_thr2.2_area15_deb0.0005_dil5.png,1802,1801,0.07781035271117398,0.044090669602155685,0.020913314074277878,
NGC4020,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4020_sep_thr2.2_area15_deb0.0005_dil5.png,435,434,0.10380871745537017,0.07323025166988373,0.011196565814316273,
NGC4064,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4064_sep_thr2.2_area15_deb0.0005_dil5.png,610,609,0.0881278837451186,0.05013519525527954,0.015103588812053204,
NGC4102,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4102_sep_thr2.2_area15_deb0.0005_dil5.png,357,356,0.04321661407581423,0.04459839686751366,0.020359519869089127,
NGC4116,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4116_sep_thr2.2_area15_deb0.0005_dil5.png,635,634,0.09206337062122323,0.10268589854240417,0.0167057067155838,
NGC4123,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4123_sep_thr2.2_area15_deb0.0005_dil5.png,377,376,0.05094043481523846,0.05188272148370743,0.020998725667595863,
NGC4133,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4133_sep_thr2.2_area15_deb0.0005_dil5.png,465,464,0.08264279630844841,0.012143547646701336,0.020072102546691895,
NGC4145,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4145_sep_thr2.2_area15_deb0.0005_dil5.png,933,933,0.0620985159632582,0.06600050628185272,0.026121502742171288,
NGC4204,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4204_sep_thr2.2_area15_deb0.0005_dil5.png,1254,1253,0.06481924513279369,0.06529512256383896,0.022422555834054947,
NGC4214,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4214_sep_thr2.2_area15_deb0.0005_dil5.png,1576,1575,0.23400002707843948,0.01184176467359066,0.0077301193960011005,
NGC4293,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4293_sep_thr2.2_area15_deb0.0005_dil5.png,983,982,0.1093543090206049,0.05417511612176895,0.010275591164827347,
NGC4294,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4294_sep_thr2.2_area15_deb0.0005_dil5.png,2540,2539,0.14702764147121056,0.051374465227127075,0.009729467332363129,
NGC4303,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4303_sep_thr2.2_area15_deb0.0005_dil5.png,1034,1033,0.10757751284477851,0.09267331659793854,0.016248447820544243,
NGC4314,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4314_sep_thr2.2_area15_deb0.0005_dil5.png,498,497,0.08624691452112097,0.014959070831537247,0.014939559623599052,
NGC4369,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4369_sep_thr2.2_area15_deb0.0005_dil5.png,1017,1016,0.12767372911098177,0.014418334700167179,0.009580356068909168,
NGC4389,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4389_sep_thr2.2_area15_deb0.0005_dil5.png,357,356,0.045738881142109375,0.04677402600646019,0.020742466673254967,
NGC4405,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4405_sep_thr2.2_area15_deb0.0005_dil5.png,672,671,0.1213420464339582,0.04880327731370926,0.013886971399188042,
NGC4424,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4424_sep_thr2.2_area15_deb0.0005_dil5.png,2215,2214,0.17253722161243493,0.047364912927150726,0.00884510762989521,
NGC4449,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4449_sep_thr2.2_area15_deb0.0005_dil5.png,643,642,0.1202489310359426,0.014890355989336967,0.016038168221712112,
NGC4450,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4450_sep_thr2.2_area15_deb0.0005_dil5.png,829,827,0.09108162334518889,0.032597340643405914,0.014014353044331074,
NGC4457,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4457_sep_thr2.2_area15_deb0.0005_dil5.png,730,729,0.11367250092444225,0.057377882301807404,0.014865174889564514,
NGC4487,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4487_sep_thr2.2_area15_deb0.0005_dil5.png,933,932,0.0665751837239669,0.09416884928941727,0.02727438323199749,
NGC4496A,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4496A_sep_thr2.2_area15_deb0.0005_dil5.png,597,596,0.09927729450531027,0.05290118232369423,0.0165269672870636,
NGC4498,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4498_sep_thr2.2_area15_deb0.0005_dil5.png,915,914,0.155059953274239,0.03424549847841263,0.013121887110173702,
