galaxy name,PE,VPD,GB,SRA,SRA raw,human_unanimous,human_majority_class,human_majority_is_unanimous,human_majority_shoulder_binary,human_shoulder_votes
UGC05633,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
UGC05832,Flat-top (FT),Two-slope (2S),Flat-top (FT),No Shoulders,No Shoulders,False,Flat-top (FT),False,No Shoulders,0
UGC06682,Flat-top (FT),Flat-top (FT),Exp,Shoulders,Shoulders,False,Flat-top (FT),False,No Shoulders,0
UGC06840,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
UGC06931,Exp,Flat-top (FT),Flat-top (FT),Shoulders,Shoulders,False,Flat-top (FT),False,No Shoulders,0
UGC06983,Flat-top (FT),Exp,Exp,Shoulders,Shoulders,False,Exp,False,No Shoulders,0
UGC07129,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
UGC07257,Exp,Exp,Exp,Shoulders,Shoulders,True,Exp,True,No Shoulders,0
UGC07612,Exp,Exp,Exp,Shoulders,Shoulders,True,Exp,True,No Shoulders,0
UGC07911,Exp,Exp,Exp,Shoulders,Shoulders,True,Exp,True,No Shoulders,0
UGC08385,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
UGC08489,Exp,Exp,Flat-top (FT),Shoulders,Shoulders,False,Exp,False,No Shoulders,0
UGC08507,Flat-top (FT),Flat-top (FT),Flat-top (FT),Shoulders,Shoulders,True,Flat-top (FT),True,No Shoulders,0
UGC08851,Flat-top (FT),Flat-top (FT),Flat-top (FT),Shoulders,Shoulders,True,Flat-top (FT),True,No Shoulders,0
UGC09245,Exp,Exp,Flat-top (FT),No Shoulders,No Shoulders,False,Exp,False,No Shoulders,0
UGC09661,Flat-top (FT),Flat-top (FT),Flat-top (FT),No Shoulders,No Shoulders,True,Flat-top (FT),True,No Shoulders,0
UGC12151,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
